country,year,value,unit,category
IT,2013,27340.0,Euros,GDP per capita
LT,2013,11850.0,Euros,GDP per capita
LU,2013,94600.0,Euros,GDP per capita
LV,2013,11130.0,Euros,GDP per capita
MT,2013,20370.0,Euros,GDP per capita
NL,2013,40100.0,Euros,GDP per capita
PL,2013,10480.0,Euros,GDP per capita
PT,2013,16740.0,Euros,GDP per capita
RO,2013,7470.0,Euros,GDP per capita
SE,2013,44130.0,Euros,GDP per capita
SI,2013,17760.0,Euros,GDP per capita
SK,2013,13750.0,Euros,GDP per capita
AT,2014,39520.0,Euros,GDP per capita
BE,2014,36530.0,Euros,GDP per capita
BG,2014,6260.0,Euros,GDP per capita
CY,2014,20350.0,Euros,GDP per capita
CZ,2014,15470.0,Euros,GDP per capita
DE,2014,37480.0,Euros,GDP per capita
DK,2014,47240.0,Euros,GDP per capita
EA20,2014,30560.0,Euros,GDP per capita
EE,2014,15680.0,Euros,GDP per capita
EL,2014,16140.0,Euros,GDP per capita
ES,2014,22500.0,Euros,GDP per capita
EU27_2020,2014,27190.0,Euros,GDP per capita
FI,2014,38300.0,Euros,GDP per capita
FR,2014,32990.0,Euros,GDP per capita
HR,2014,10500.0,Euros,GDP per capita
HU,2014,11070.0,Euros,GDP per capita
IE,2014,47010.0,Euros,GDP per capita
IT,2014,27330.0,Euros,GDP per capita
LT,2014,12400.0,Euros,GDP per capita
LU,2014,94820.0,Euros,GDP per capita
LV,2014,11470.0,Euros,GDP per capita
MT,2014,21490.0,Euros,GDP per capita
NL,2014,40600.0,Euros,GDP per capita
PL,2014,10900.0,Euros,GDP per capita
PT,2014,16950.0,Euros,GDP per capita
RO,2014,7800.0,Euros,GDP per capita
SE,2014,44690.0,Euros,GDP per capita
SI,2014,18230.0,Euros,GDP per capita
SK,2014,14100.0,Euros,GDP per capita
AT,2015,39640.0,Euros,GDP per capita
BE,2015,36860.0,Euros,GDP per capita
BG,2015,6560.0,Euros,GDP per capita
CY,2015,21220.0,Euros,GDP per capita
CZ,2015,16230.0,Euros,GDP per capita
DE,2015,37770.0,Euros,GDP per capita
DK,2015,47900.0,Euros,GDP per capita
EA20,2015,31120.0,Euros,GDP per capita
EE,2015,16000.0,Euros,GDP per capita
EL,2015,16210.0,Euros,GDP per capita
ES,2015,23440.0,Euros,GDP per capita
EU27_2020,2015,27770.0,Euros,GDP per capita
FI,2015,38350.0,Euros,GDP per capita
FR,2015,33200.0,Euros,GDP per capita
HR,2015,10810.0,Euros,GDP per capita
HU,2015,11520.0,Euros,GDP per capita
IE,2015,58040.0,Euros,GDP per capita
IT,2015,27620.0,Euros,GDP per capita
LT,2015,12860.0,Euros,GDP per capita
LU,2015,95090.0,Euros,GDP per capita
LV,2015,12010.0,Euros,GDP per capita
MT,2015,23000.0,Euros,GDP per capita
NL,2015,41270.0,Euros,GDP per capita
PL,2015,11390.0,Euros,GDP per capita
PT,2015,17280.0,Euros,GDP per capita
RO,2015,8090.0,Euros,GDP per capita
SE,2015,46170.0,Euros,GDP per capita
SI,2015,18660.0,Euros,GDP per capita
SK,2015,14820.0,Euros,GDP per capita
AT,2016,39970.0,Euros,GDP per capita
BE,2016,37110.0,Euros,GDP per capita
BG,2016,6840.0,Euros,GDP per capita
CY,2016,22460.0,Euros,GDP per capita
CZ,2016,16640.0,Euros,GDP per capita
DE,2016,38330.0,Euros,GDP per capita
DK,2016,48970.0,Euros,GDP per capita
EA20,2016,31590.0,Euros,GDP per capita
EE,2016,16460.0,Euros,GDP per capita
EL,2016,16270.0,Euros,GDP per capita
ES,2016,24100.0,Euros,GDP per capita
EU27_2020,2016,28250.0,Euros,GDP per capita
FI,2016,39230.0,Euros,GDP per capita
FR,2016,33360.0,Euros,GDP per capita
HR,2016,11280.0,Euros,GDP per capita
HU,2016,11850.0,Euros,GDP per capita
IE,2016,58050.0,Euros,GDP per capita
IT,2016,28010.0,Euros,GDP per capita
LT,2016,13360.0,Euros,GDP per capita
